symptoms,true diagnosis
Global developmental delay; Intellectual disability; Language delay; Autistic features; Epilepsy; Behavioral problems; Facial dysmorphism; Hyperkinetic movement disorder; Flat angiomas; Choanal atresia,FOXP1-related intellectual disability syndrome
Seizures; Paroxysmal kinesigenic dyskinesia; Hemiplegic migraine; Focal unaware seizures; Behavioral arrest; Migraine without aura; Tonic-clonic seizures; Focal motor seizures; Febrile seizures; Myoclonic seizures,Benign familial infantile epilepsy
Infantile spasms; Drug-resistant epilepsy; Pachygyria; Severe developmental delay; Mental retardation; Hypsarrhythmia; Absence seizures; Poor language skills; Intellectual disability,Pachygyria
Paresthesia; Muscle weakness; Cramps; Hyporeflexia; Pes cavus; Reduced vibration sense; Ataxia; Muscle wasting,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2II; CMT2II"
Lower extremity weakness; Respiratory muscle weakness; Upper motor neuron signs; Muscle atrophy; Hyperreflexia; Steppage gait; Reduced pinprick sensation; Impaired vibratory sensation,Amyotrophic lateral sclerosis
Ptosis; Respiratory distress; Double vision; Limited upward eye movements; Bilateral ptosis; Deficit in the orbicularis of the eyelids,Congenital myasthenic syndrome type 19
Tremor; Dystonic posturing; Hoarse voice; Dysarthria; Swallowing difficulties; Torticollis; Axial dystonia; Opisthotonic posture; Dystonia,"Dystonia 1, torsion, autosomal dominant"
Hypotonia; Motor delay; Speech delay; Intellectual disability; Autism; Visual-motor integration deficit; Stereotypic hand movements; Social withdrawal; Clumsy gait,White-Sutton syndrome
Cognitive impairment; Ataxia; Dysarthria; Nystagmus; Tremor; Disorientation; Anomia; Acalculia; Apraxia; Visuospatial impairment,SPINOCEREBELLAR ATAXIA 17; SCA17
Deafness; Myoclonic epilepsy; Muscle weakness; Retinitis pigmentosa; Ataxia; Cerebellar atrophy; Hypogonadism; Hypothyroidism; Adrenal insufficiency; Short stature,"NEUROPATHY, ATAXIA, AND RETINITIS PIGMENTOSA"
Microcephaly; Neonatal hypotonia; Seizures; Profound developmental delay; Dysmorphic features; Hypertelorism; Micro retrognathia; Feeding difficulties; Failure to thrive; Central hypotonia,"Progressive encephalopathy with edema, hypsarrhythmia, and optic atrophy (PEHO)-like syndrome"
Calf hypertrophy; Fatigability; Limb-girdle weakness; Jaw weakness; Neck drop; Bifacial weakness; Truncal weakness; Exertional breathlessness,Congenital Myasthenic Syndrome
Developmental delay; Epilepsy; Neurological developmental impairment; Severe malnutrition; Feeding difficulty; Congenital heart disease; Recurrent pneumonia,Epileptic encephalopathy
Developmental delay; Speech and language difficulties; Frequent falls; Mild hypotonia; Ataxia; Loss of sphincter control; Expressive and receptive language regression; Cerebellar syndrome; Severe intellectual disability,Childhood neurodegeneration associated with UBTF c.628G>A variant
"Bilateral, painless subacute failure of central vision; Loss of colour vision affecting mostly the red-green system; Dense central or centrocecal scotoma; Reduced contrast sensitivity; Postural tremor; Peripheral neuropathies; Movement disorders",Leber hereditary optic neuropathy
Sensorineural hearing impairment; Visual field defect; Stroke-like episodes; Short stature; Seizures,"MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE EPISODES; MELAS"
Tonic seizures; Epileptic spasms; Focal seizures; Developmental delay; Bilateral gaze; Teeth biting; Right limb convulsions; Head nodding; Flexion of upper limbs,Familial focal epilepsy with variable foci
